Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status,Match_Method,Matched_Source_Path,Copied_Output_Path
2,CAND_05B096ACEC,[PDF] Georgia Energy Report,review,https://gefa.georgia.gov/document/publication/2022-georgia-energy-report/download,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Georgia-Energy-Report-2022_1.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Georgia-Energy-Report-2022_1.pdf
3,CAND_5C8C051F2D,3-1 Georgia Freight Plan 3. Georgia’s Freight Transportation Infrastructure,review,https://www.dot.ga.gov/InvestSmart/Freight/GeorgiaFreight/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Chapter3_Georgia_Freight_Transportation_Infrastructure.pdf
4,CAND_F350095FB1,[PDF] Economic Development Agreement with Hyundai Motor Group,review,https://georgia.org/sites/default/files/2022-07/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/hyundai_motor_group_economic_development_agreement_-_executive_summary.pdf
5,CAND_0D876D9726,[PDF] 1 Summary - Georgia Department of Economic Development,review,https://georgia.org/sites/default/files/2023-09/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/hyundai_motor_group_incentives_-_updated_executive_summary_09.08.23_final.pdf
6,CAND_42AA54D196,[PDF] SUPERCHARGED: - Raphael Warnock,review,https://www.warnock.senate.gov/wp-content/uploads/2025/05/Supercharged-IRA-Report.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/Supercharged-IRA-Report.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/Supercharged-IRA-Report.pdf
7,CAND_07D3A45DF1,Georgia Business Assets a Powerful Magnet for Electric Vehicle Industry | Georgia.org,review,https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,unmatched,,,
8,CAND_949B09990C,Georgia Electric Vehicle Manufacturing | Georgia Department of Economic Development,review,https://georgia.org/EV,unmatched,,,
9,CAND_CB075DEF7C,Georgia Emerges as Hub for Sustainability | Georgia.org,review,https://georgia.org/blog/georgia-emerges-hub-sustainability,unmatched,,,
10,CAND_D25A4AD066,[PDF] FY 2012 Annual Progress Report for Energy Storage R&D,review,https://www.energy.gov/sites/prod/files/2014/04/f14/2_arra.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/2_arra.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/2_arra.pdf
11,CAND_2A1F23D1BC,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://www.georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched,,,
12,CAND_FD95048FC0,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched,,,
13,CAND_D37B76E852,[PDF] Final Environmental Assessment - Department of Energy,review,https://www.energy.gov/sites/default/files/2024-06/EA_FONSI_Final_LPO_Aspen%20Aerogel.pdf,unmatched,,,
14,CAND_A53A87F70C,"Aspen Aerogels, Inc. Reports First Quarter 2025 Financial Results ...",review,https://www.sec.gov/Archives/edgar/data/1145986/000117184325002948/exh_991.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/exh_991_2.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/exh_991_2.htm
15,CAND_5F0002B474,"Bartow County, Georgia Fulfills Location & Logistical ...",review,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,unmatched,,,
16,CAND_F262E5C9CC,EX-99.1,review,https://www.sec.gov/Archives/edgar/data/1859795/000095017024114374/nvx-ex99_1.htm,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/nvx-ex99_1.htm,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/nvx-ex99_1.htm
17,CAND_00EDC1B6F2,[PDF] REGIONAL FREIGHT TRANSPORTATION PLAN - Savannah MPC,review,https://www.thempc.org/docs/lit/CoreMpo/Plans/FreightTransportation/2023/Dec/Task3/CORE%20RFTP_Land%20Use%20Analysis_Final_10302023.pdf,matched,basename:Acquired_File_Path,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/stage2_downloads/CORE%20RFTP_Land%20Use%20Analysis_Final_10302023.pdf,/Users/sreejamuvva/Library/CloudStorage/OneDrive-UniversityofGeorgia/GNEM_Project/Tavily_ev-automation-4/Taviliy_HTML_PDF 3/Data/run_1_500/tavily ready documents/CORE%20RFTP_Land%20Use%20Analysis_Final_10302023.pdf
