question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio
"Among companies classified as Supplier, which EV Supply Chain Role appears most frequently?","Among companies classified as Supplier, the most frequent EV Supply Chain Role is General Automotive (135 rows).",golden,"The ""Charging Infrastructure Provider"" role appears most frequently among companies classified as Supplier.",0.66,True,,0.0,,,,,
Find any companies where Category indicates an OEM-related class (starts with 'OEM') but Supplier or Affiliation Type is not filled; list those companies.,"OEM-related Category with blank Supplier or Affiliation Type [23 companies]: TI Fluid Systems | Categories: OEM, OEM (Footprint) TN Americas Holding Inc. | Categories: OEM (Footprint) Tie Down Engineering | Categories: OEM (Footprint) Toyota Industries Group (TACG-TICA) | Categories: OEM (Footprint) Trenton Pressing | Categories: OEM (Footprint) Trenton Pressing Inc. | Categories: OEM Supply Chain Valeo | Categories: OEM Supply Chain Vanguard National Trailer Corp. | Categories: OEM Supply Chain Vernay | Categories: OEM Supply Chain Vista Metals Corp. | Categories: OEM Supply Chain Voestalpine Automotive Body Parts Inc. | Categories: OEM Supply Chain Volvo Cars USA | Categories: OEM Supply Chain Volvo Group North America | Categories: OEM Supply Chain WIKA USA | Categories: OEM Supply Chain Wabash National Corp. | Categories: OEM Supply Chain Wheelabrator Group Inc. | Categories: OEM Supply Chain Woodbridge Foam Corp. | Categories: OEM Supply Chain Woory Industrial Co. | Categories: OEM Supply Chain YKK USA Inc. | Categories: OEM Footprint Yachiyo Manufacturing of America LLC | Categories: OEM Supply Chain Yamaha Motor Manufacturing Corp. | Categories: OEM Supply Chain Yazaki North America | Categories: OEM Footprint ZF Gainesville LLC | Categories: OEM Footprint, OEM Supply Chain",golden,"Companies with a Category starting with ""OEM"" and a missing Supplier or Affiliation Type.",0.62,True,,0.0,,,,,
"According to the Methodology sheet, what is the minimum employment threshold used to include companies in this dataset?",Minimum employment threshold: 50 or more employees.,golden,"The minimum employment threshold to include companies in the dataset is generally 10 employees, but the exact figure may vary depending on the specific dataset's methodology.",0.84,True,,0.0,,,,,
"According to the Definitions sheet, how is the Location field formatted and how are City values standardized?","Location is formatted as City, County. City values use county seats as a standardized geographic point.",golden,"The exact formatting of the Location field and the standardization of City values are unknown from general knowledge. Generally, Location fields are often formatted as text strings. City values are typically standardized by converting them to a consistent case (e.g., all uppercase or all lowercase) and removing extraneous characters or abbreviations.",1.28,True,,0.0,,,,,
"According to the Definitions sheet, what controlled vocabulary is used for EV Supply Chain Role (list the roles mentioned in the definition)?",Controlled vocabulary listed in Definitions for EV Supply Chain Role: vehicle assembly; battery cell; battery pack; power electronics; charging infrastructure; thermal management; materials; general automotive.,golden,"The exact controlled vocabulary and listed roles for EV Supply Chain Role are unknown from general knowledge. However, EV Supply Chain Roles typically encompass categories like **Raw Material Extraction, Component Manufacturing, Battery Production, Vehicle Assembly, Charging Infrastructure Deployment, and End-of-Life Management**.",1.19,True,,0.0,,,,,
List all companies in Category = OEM Footprint and provide their Employment and EV Supply Chain Role.,"Category = OEM Footprint [3]: YKK USA Inc. | Employment: 190,159 | EV Supply Chain Role: EV sensors, braking, and control systems Yazaki North America | Employment: 230,000 | EV Supply Chain Role: Power electronics, sensors, and EV systems ZF Gainesville LLC | Employment: 106,100 | EV Supply Chain Role: EV thermal systems and electronics",golden,"I do not have access to a dataset to fulfill this request. However, generally, companies in the ""OEM Footprint"" category would likely have roles such as:

*   **Tier 1 Suppliers:** Providing components or systems directly to the OEM.
*   **Assembly Plants:** Manufacturing vehicles or vehicle components.
*   **Engineering and Design Centers:** Involved in the design and engineering of vehicles or components.
*   **Logistics and Distribution Centers:** Managing the flow of materials and finished products.

Employment numbers would vary greatly depending on the specific company and its operations. EV Supply Chain Role would depend on the specific company's involvement in battery production, electric motor manufacturing, charging infrastructure, etc.",2.61,True,,0.0,,,,,
"Which companies have Primary Facility Type = Regional corporate operations, and what are their Categories and Locations?",Primary Facility Type = Regional corporate operations [1]: Trenton Pressing | Category: OEM (Footprint) | Location: Georgia | EV Supply Chain Role: OEM corporate footprint and supplier integration,golden,"I do not have access to a dataset to provide specific company names, categories, and locations matching that criteria. However, generally, companies with a ""Regional corporate operations"" primary facility type would likely be in categories such as headquarters, shared services, or regional management, and their locations would be in major metropolitan areas serving as hubs for their regional operations.",1.45,True,,0.0,,,,,
"Among EV / Battery Relevant = Yes companies, which Industry Groups are represented and how many companies are in each?","Industry Groups represented among EV / Battery Relevant = Yes companies: Electronic and Other Electrical Equipment and Components: 6 Transportation Equipment: 6 Primary Metal Industries: 3 Commercial vehicles and powertrains: 2 Machinery Except Electrical: 1 Automotive safety systems and restraints: 1 Passenger vehicles (EV + ICE): 1 Heavy-duty trucks: 1 Commercial vehicles (Kenworth, Peterbilt): 1 Automotive precision components: 1 Automotive parts manufacturing: 1 Automotive structural components: 1 Automotive stamping and assemblies: 1 Automotive modules and components: 1 Automotive components: 1 Automotive plastics: 1 Metal stamping and assemblies: 1 Automotive plastic components: 1 Automotive textiles and interiors: 1 Automotive wiring systems: 1 Automotive electrical systems: 1 Electrical connectors and sensors: 1 Automotive seating and E‑systems: 1 Automotive electronics: 1 Automotive electronics and systems: 1 Automotive electronics and safety systems: 1 Automotive systems and components: 1 Automotive thermal and electronics systems: 1 Automotive powertrain and thermal systems: 1",golden,"Based on general knowledge of EV and battery-related companies, the represented Industry Groups include:

*   **Automotive Components:** A significant number of companies.
*   **Electrical Equipment & Supplies:** A notable presence.
*   **Chemicals:** Several companies involved in battery materials.
*   **Industrial Gases:** Some companies supply gases used in battery production.
*   **Machinery:** Companies producing specialized equipment for battery manufacturing.
*   **Metals and Mining:** Companies providing raw materials for batteries.

The exact number of companies within each group is not verifiable from general knowledge.",2.26,True,,0.0,,,,,
"Within Tier 1 suppliers, identify companies in 'Electronic and Other Electrical Equipment and Components' and list their Product / Service.",None. There are no Tier 1 suppliers in the dataset with Industry Group = Electronic and Other Electrical Equipment and Components.,golden,"I do not have access to a supplier tier list or associated product/service information. Generally, companies within the 'Electronic and Other Electrical Equipment and Components' sector might offer products and services such as semiconductors, circuit boards, connectors, cables, sensors, power supplies, and related manufacturing or design services.",1.28,True,,0.0,,,,,
"According to the Methodology sheet, how are supply chain tiers assigned (what approach is described)?","Supply chain tiers are assigned using a structured heuristic approach that reflects functional roles across OEM, Tier 1, Tier 2, and Tier 3.",golden,"The methodology for assigning supply chain tiers typically involves categorizing suppliers based on their directness to the original raw materials. Tier 1 suppliers are those that directly supply to the company. Tier 2 suppliers are those that supply to Tier 1 suppliers, and so on.",1.2,True,,0.42,,,,,
