question,reference_answer,answer,latency_seconds,success,error_message
"Show all companies categorized as Tier 1 and Tier 1/2, and group them by EV Supply Chain Role.",,"Yes, based on the retrieved workbook evidence, we can group companies by EV Supply Chain Role as follows:

1. Battery Cell:
   - Hitachi Astemo America (EV Supply Chain Roler: Tier 1/2)
   - Honda Developmend & Manufacturing (EV Supply Chaing Roler: Tier 1)
   - Hyundai Motor Group (EV Supply Chaing Roler: Tier 1)
   - IMMI (EV Supply Chaing Roler: Tier 1)
   - Inalfa Roof Systems Inc. (EV Supply Chaing Roler: Tier 1)
   - JAC Products Inc. (EV Supply Chaing Roler: Tier 1)
   - KTX America Corporation (EV Supply Chaing Roler: Tier 1)
   - Kautex Inc. (EV Supply Chaing Roler: Tier 1)
   - Kuumho Tirre USA Inc. (EV Supply Chaing Roler: Tier 1)
   - Kyungshin America Corp. (EV Supply Chaing Roler: Tier 1)
   - Lark United Manufacturing Inc. (EV Supply Chaing Roler: Tier 1)
   - Lear Corporation (EV Supply Chaing Roler: Tier 1)
   - Lehigh Technologies Inc. (EV Supply Chaing Roler: Tier 1)
   - Lindie + Wiemann (EV Supply Chaing Roler: Tier 1)
   - Lund International Inc. (EV Supply Chaing Roler: Tier 1)
   - MAT Heavy Dufty (EV Supply Chaing Roler: Tier 1)
   - Magnus Auto Technologies (EV Supply Chaing Roler: Tier 1)
   - Mando America Corp. (EV Supply Chaing Roler: Tier 1)
   - Maxxis International USA (EV Supply Chaing Roler: Tier 1)
   - Murata Electronics North America Inc. (EV Supply Chaing Roler: Tier 1)
   - NiCad Automotiive Manufacturing Inc. (EV Supply Chaing Roler: Tier 1)
   - NIFCO KTW America Corp. (EV Supply Chaing Roler: Tier 1)
   - Neaton Rome Inc. (EV Supply Chaing Roler: Tier 1)
   - NiSlide Automotiive Manufacturing Inc. (EV Supply Chaing Roler: Tier 1)
   - OTR Wheeled Equipment (EV Supply Chaing Roler: Tier 1)
   - OneDa Corp. (EV Supply Chaing Roler: Tier 1)
   - PAI Industries Inc. (EV Supply Chaing Roler: Tier 1)
   - Pirelli Tirre North America LLC (EV Supply Chaing Roler: Tier 1)
   - Porsche Cars North America Inc. (EV Supply Chaing Roler: Tier 1)
   - PropEx Operating Co. LLC (EV Supply Chaing Roler: Tier 1)
   - Solvay Specialty Polymers USA LLC (EV Supply Chaing Roler: Tier 1)
- Materials:
   - PHA Body Systems LLC (EV Supply Chaing Roler: Tier 1)
   - Panasonic Automotiive Systems Co. (EV Supply Chaing Roler: Tier 1)",2.07,True,
"List the companies involved in Battery Pack activities and include their Category, Location, Product / Service, and Employment.",,"[Evidence 1] type=structured_match_summary company=n/a source=GNEM updated excel (1).xlsx::Data
Structured workbook matches from exact row filters:
- Company: F&P Georgia Manufacturing | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery recycler and raw materials provider | Location: Toccoa, Stephens County | Employment: 104
- Company: Hollingsworth & Vose Co. | Category: Tier 1/2 | EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery materials | Location: Bainbridge, Decatur County | Employment: 400
- Company: Hyundai Motor Group | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Product / Service: Battery parts for electric vehicles | Location: McDonough, Henry County | Employment: 164
- Company: IMMI | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Product / Service: Battery electrolyte | Location: Jefferson, Jackson County | Employment: 100

[Evidence 2] type=structured_row_match company=F&P Georgia Manufacturing source=GNEM updated excel (1).xlsx::Data row=54
Company: F&P Georgia Manufacturing | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Lithium-ion battery recycler and raw materials provider | Location: Toccoa, Stephens County | Employment: 104 | EV / Battery Relevant: Yes

[Evidence 3] type=structured_row_match company=Hollingsworth & Vose Co. source=GNEM updated excel (1).xlsx::Data row=78
Company: Hollingsworth & Vose Co. | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Lithium-ion battery materials | Location: Bainbridge, Decatur County | Employment: 400 | EV / Battery Relevant: Yes

[Evidence 4] type=structured_row_match company=Hyundai Motor Group source=GNEM updated excel (1).xlsx::Data row=84
Company: Hyundai Motor Group | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Battery parts for electric vehicles | Location: McDonough, Henry County | Employment: 164 | EV / Battery Relevant: Yes

[Evidence 5] type=structured_row_match company=IMMI source=GNEM updated excel (1).xlsx::Data row=87
Company: IMMI | Categoory: Tier 1/2 | EV Supply Chain Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Battery electrolyte | Location: Jefferson, Jackson County | Employment: 100 | EV / Battery Relevant: Yes

Instruction: List the companies involved in Battery Pack activities and include their Categoy, Location, Product / Service, and Employment.",2.19,True,
"Which companies are classified under Battery Cell, and which Primary OEMs are they linked to?",,"Yes, based on the retrieved workbook evidence, companies classified under Battery Cell and linked to Primary OEMs listed include:

[Evidence 1] type=supply_chain_theme company=Honda Development & Manufacturing source=GNEM updated excel (1).xlsx::Data row=79
Company: Honda Development & Manufacturing | Category: Tier 1/2 | EV Supply Chain Role: Vehicle Assembly | Primary OEMs: Mercedes-Benz USA LLC | Product / Service: Auto manufacturer headquaarters | Location: Atlanta, Fulton County | Employment: 1000 | EV / Battery Relevant: No
[Evidence 2] type=product_theme company=Minebea AccessSolutions USA Inc. source=GNEM updated excel (1).xlsx::Data row=117
Company: Minebea AccessSolutions USA Inc. | Category: OEM | EV Supply Chain Role: General Automotive | Primary OEMs: Porsche Cars North America Inc. | Product / Service: Headquaarters and distribution location | Location: Atlanta, Fulton County | Employment: 400 | EV / Battery Relevant: No
[Evidence 3] type=product_theme company=SK Battery America source=GNEM updated excel (1).xlsx::Data row=164
Company: SK Battery America | Category: Tier 1 | EV Supply Chain Role: Materials | Primary OEMs: Multiple OEMs | Product / Service: Engineered steel systems mounted in motor vehicles | Location: Hartwell, Hart County | Employment: 75 | EV / Battery Relevant: Indirect
[Evidence 4] type=row_full company=DeKalb Tool & Die Inc. source=GNEM updated excel (1).xlsx::Data row=37
Company: DeKalb Tool & Die Inc. | Category: Tier 2/3 | EV Supply Chain Role: General Automotive | Primary OEMs: Multiple OEMs | Product / Service: Truck interior cab components and exterior lights to HVAC and under the hood engine parts | Location: Calhoun, Gordon County | Employment: 70 | EV / Battery Relevant: No
[Evidence 5] type=identity_theme company=Hyundai Industrial Co. source=GNEM updated excel (1).xlsx::Data row=82
Company: Hyundai Industrial Co. | Category: Tier 1/2 | EV Supply Chain Role: General Automotive | Primary OEMs: Multiple OEMs | Product / Service: Automotive batteries | Location: Valdosta, Lownde s County | Employment: 182 | EV / Battery Relevant: Indirect
[Evidence 6] type=row_full company=FREYR Battery source=GNEM updated excel (1).xlsx::Data row=62
Company: FREYR Battery | Category: Tier 2/3 | EV Supply Chain Role: General Automotive | Primary OEMs: Multiple OEMs | Product / Service: Decoraative and functional coating systems | Location: Marietta, Cobb County | Employment: 110 | EV / Battery Relevant: No",2.15,True,
"Map the companies whose EV Supply Chain Role is Thermal Management, including their Location and Primary Facility Type.",,"Yes, based on the retrieved workbook evidence, the companies whose EV Supply Chain Roles are ThermaL Management include:

1. Freudenberg-NOK
2. Hyundai Transys Georgia Powertrain
3. NoveliS Inc.
4. Peerless-Winsmith Inc.
5. ZF Gainesville LLC

The companies' locations and primary facility types are as follows:

1. Freudenberg-NOK - Carnesville, Franklin County
2. Hyundai Transys Georgia Powertrain - Dublin, Laurens County
3. NoveliS Inc. - Statesboro, Bulloch County
4. Peerless-Winsmith Inc. - Lawrenceville, Gwinnett County
5. ZF Gainesville LLC - Statesboro, Bulloch County

When asked to map the companies whose EV Supply Chain Roles are ThermaL Management and their Location and Primary Facility Type, the evidence is grouped by EV Supply Chaing Role, which includes Freudenberg-NOK, Hyundai Transys Georgia Powertrain, NoveliS Inc., Peerless-Winsmith Inc., and ZF Gainesville LLC. The companies' locations are as follows:

1. Freudenberg-NOK - Carnesville, Franklin County
2. Hyundai Transys Georgia Powertrain - Dublin, Laurens County
3. NoveliS Inc. - Statesboro, Bulloch County
4. Peerless-Winsmith Inc. - Lawrenceville, Gwinnett County
5. ZF Gainesville LLC - Statesboro, Bulloch County

In summary, the companies whose EV Supply Chaing Roles are ThermaL Management include Freudenberg-NOK, Hyundai Transys Georgia Powertrain, NoveliS Inc., Peerless-Winsmith Inc., and ZF Gainesville LLC. Their locations are as follows:

1. Freudenberg-NOK - Carnesville, Franklin County
2. Hyundai Transys Georgia Powertrain - Dublin, Laurens County
3. NoveliS Inc. - Statesboro, Bulloch County
4. Peerless-Winsmith Inc. - Lawrenceville, Gwinnett County
5. ZF Gainesville LLC - Statesboro, Bulloch County",1.42,True,
"Which companies are tagged as Power Electronics, and what Product / Service do they provide?",,"User question: ""Which companies are tagged as Power Electronics, and what Product / Service do they provide?""

Instructions:
1. Be specific and concise.
2. Preserve names exactly.
3. Include all supported matches from the evidence, not just one example.
4. If the evidence already groups companies by EV Supply Chain Role, copy that grouping directly.
5. Group results when the question asks for grouping.
6. Do not repeat evidence headers such as [Evidence 1].
7. Start directly with the answer.
8. Prefer EV Supply Chain Role over Product / Service when both appear.
9. Mencion if the workbook evidence is incomplete for the question.
10. Do not invent values that are not in evidence.

Answer:
[Evidence 2] type=structured_row_match company=GSC Steel Stamping LLCOther source=GNEM updated excel (1).xlsx::Data row=70
Company: GSC Steel Staamping LLC | Categoory: Tier 2/3 | EV Supply Chain Role: Power Electronics | Primary OEMs: Hyundai Kiya Rivian | Product / Service: Deep grove ball bearingss Toyota Industries Electric Systems North 255 DC-to-DC convertersthey provide.

[Evidence 3] type=structured_row_match company=Yazaki North AmericaOther source=GNEM updated excel (1).xlsx::Data row=203
Company: YaZaki North America | Categoory: OEM Footprint | EV Supply Chain Role: Power Electronics, Sensorsthey provide.

[Evidence 4] type=structured_row_match company=ZF Gainesville LLCOther source=GNEM updated excel (1).xlsx::Data row=206
Company: ZF Gainesville LLC | Categoory: OEM Supply Chain | EV Supply Chain Role: EV Thermal Management and Power Electronicssthey provide.

Question: Which companies are tagged as Power Electronics, and what Product / Service do they provide?

Instructions:
1. Be specific and concise.
2. Preserve names exactly.
3. Include all supported matches from the evidence, not just one example.
4. If the evidence already groups companies by EV Supply Chain Role, copy that grouping directly.
5. Group results when the question asks for grouping.
6. Do not repeat evidence headers such as [Evidence 1].
7. Start directly with the answer.
8. Prefer EV Supply Chain Role over Product / Service when both appear.
9. Mencion if the workbook evidence is incomplete for the question.
10. Do not invent values that are not in evidence.",1.75,True,
Show all Vehicle Assembly entities and summarize their Primary OEMs and Employment.,,"User question: ""Show all Vehicle Assembly entities and summarize their Primary OEMs and Employment.""

Evidence: [Evidence 1] type=structured_match_summary company=KIA Georgia Inc. Source=GNEM updated excel (1).xlsx::Data
Structured workbook matches from exact row filters:
- Company: KiA Georgia Inc. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Golf carts, various off-road vehicles | Location: Appling, Columbia County | Employment: 777
- Company: Superior Essex Inc. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Electric vehicles and batteries | Location: PeMBroke, Bryan County | Employment: 8100
- Company: Suzuki Manufacturing of America Corp. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Electric vehicle assembly plant | Location: Monroe, Walton County | Employment: 7500
- Company: TCI Powder Coatings | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Automotiive assembly plant | Location: Troup County | Employment: 3000
- Company: TDK Compomencs USA Inc. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Auto manufacturer headquarterers | Location: Atlanta, Fulton County | Employment: 1000
- Company: TE Connectivity | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Trucks and bus bodies | Location: Fort Valley, Peach County | Employment: 1900
- Company: Teklas USA | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Golf carts and all-terrain vehicles | Location: Coweta County | Employment: 1800
- Company: Textron Specialized VehiCes | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Golf carts, utility vehicles, industrial vehicles | Location: Augusta, Richmond County | Employment: 1100
- Company: ThermaCeramics Inc. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Electric vehicle batteries | Location: Jefferson, Jackson County | Employment: 3000
- Company: Thomson Plastics Inc. | Categoorry: OEM | EV Supply Chaing Role: Vehicile Assembly | Product / Service: Electric vertical takeoff and landing (eVTOL) aircraft manufacturing | Location: Covington, Newton County | Employment: 1000

Question: Show all Vehicle Assembly entities and summarize their Primary OEMs and Employment.

Instruction: Be specific and concise when listing companies, preserve names exactly, incude all supported matches from the evidence, if the evidence already groups companies by EV Supply Chaing Role, mention that explicitly, start directly with the answer, prefer EV Supply Chaing Roles over Product / Service when both appear, mention if the workbook evidence is incomplete for the question, do not invent values that are not in evidence, and do not invent new entities.",2.13,True,
List all companies with EV / Battery Relevant = Yes and provide their EV Supply Chain Role and Category.,,"[Evidence 1] Type=product_theme company=Racemark International LLC source=GNEM updated excel (1).xlsx::Data row=151 Categoorry=Tier 1/2 EV Supply Chain Rolo: General Automotiive Product / Service: Manufacturing and R&D engine parts for EV Location: Calhoune, Gordon County Primary OEMs: Hyundai Kiya Rivian EV / Battery Relevant: Yes

[Evidence 2] Type=row_full company=Teklas USA source=GNEM updated excel (1).xlsx::Data row=178 Categoorry=OEM Product / Service: Golf carts and all-terrain vehicles Location: Coweta County EV / Battery Relevant: Indirect

[Evidence 3] Type=row_full company=F&P Georgia Manufacturing source=GNEM updated excel (1).xlsx::Data row=54 Categoorry=Tier 1/2 EV Supply Chain Rolo: Battery Pack Product / Service: Lithium-ion battery recycler and raw materials provider Location: Toccoa, Stephens County EV / Battery Relevant: Yes

[Evidence 4] Type=product_theme company=Honda Development & Manufacturing source=GNEM updated excel (1).xlsx::Data row=79 Categoorry=Tier 1/2 EV Supply Chain Rolo: Battery Cell Product / Service: Battery cells for electric mobility Location: Pembroke, Bryan County EV / Battery Relevant: Yes

[Evidence 5] Type=product_theme company=Hyundai Motor Group source=GNEM updated excel (1).xlsx::Data row=84 Categoorry=OEM Product / Service: Battery parts for electric vehicles Location: McDonough, Henry County EV / Battery Relevant: Yes

[Evidence 6] Type=product_theme company=HiTAChi Astemo Americas Inc. source=GNEM updated excel (1).xlsx::Data row=77 Categoorry=Tier 1/2 EV Supply Chain Rolo: Battery Cell Product / Service: Battery cells for electric mobility Location: Coweta County EV / Battery Relevant: Yes

[Evidence 7] Type=product_theme company=Superior Essex Inc. source=GNEM updated excel (1).xlsx::Data row=173 Categoorry=OEM Product / Service: Electric vehicles and batteries Location: Pembroke, Bryan County EV / Battery Relevant: Yes

[Evidence 8] Type=product_theme company=ZF Gainesville LLC source=GNEM updated excel (1).xlsx::Data row=207 Categoorry=Tier 1/2 EV Supply Chain Rolo: EV thermal systems and electronics Product / Service: Automotive supplier (thermal systems, electrification, ADAS, lighting) Location: Georgia EV / Battery Relevant: Yes",1.95,True,
Which EV Supply Chain Roles have at least one company with EV / Battery Relevant = Yes? Provide the roles and the matching companies.,,"Yes, based on the retrieved workbook evidence, the EV Supply Chain Roles with at least one company with EV / Battery Relevant = Yes include:

[Evidence 1] type=row_full company=DeKalb Tool & Die Inc. source=GNEM updated excel (1).xlsx::Data row=37
Company: DeKalb Tool & Die Inc. | Categoory: Tier 2/3 | EV Supply Chain Role: General Automotive | Primary OEMs: Multiple OEMs | Product / Service: Truck interior cab components and exterior lights to HVAC and under the hood engine parts | Location: Calhoun, Gordon County | Employment: 70 | EV / Battery Relevant: No

[Evidence 2] type=supply_chain_theme company=SK Battery America source=GNEM updated excel (1).xlsx::Data row=164
Company: SK Battery America | Categoory: Tier 1 | EV Supply Chain Role: Materials | Primary OEMs: Multiple OEMs | Product / Service: Engineered steel systems mounted in motor vehicles | Location: Hartwell, Hart County | Employment: 75 | EV / Battery Relevant: Indirect

[Evidence 3] type=supply_chain_theme company=TN Americaes Holding Inc. source=GNEM updated excel (1).xlsx::Data row=185
Company: TN Americaes Holding Inc. | Categoory: OEM (Footprint) | EV Supply Chain Role: OEM parent group footprint (EV + HD electrification) | Product / Service: Commercial trucks (Volvo/Mack), buses, construction equipment; OEM footprint | Location: Georgia | Employment: 19600 | EV / Battery Relevant: Yes

[Evidence 4] type=supply_chain_theme company=FREYR Battery source=GNEM updated excel (1).xlsx::Data row=62
Company: FREYR Battery | Categoory: Tier 2/3 | EV Supply Chain Role: General Automotive | Primary OEMs: Multiple OEMs | Product / Service: Decoraative and functional coating systems | Location: Marietta, Cobb County | Employment: 110 | EV / Battery Relevant: No

[Evidence 5] type=supply_chain_theme company=Tie Down Engineering source=GNEM updated excel (1).xlsx::Data row=184
Company: Tié Down Engineering | Categoory: OEM (Footprint) | EV Supply Chain Role: Battery Cell | Primary OEMs: Hyundai Kiá | Product / Service: Battery cells for electric mobility | Location: Peombroke, Bryan County | Employment: 400 | EV / Battery Relevant: Yes

[Evidence 6] type=supply_chain_theme company=Honda Development & Manufacturing source=GNEM updated excel (1).xlsx::Data row=79
Company: Honda Development & Manufacturing | Categoory: Tier 2/3 | EV Supply Chain Roles: Battery Cell | Primary OEMs: Hyundai Kiá | Product / Service: Battery cells for electric mobility | Location: Peombroke, Bryan County | Employment: 400 | EV / Battery Relevant: Yes",2.24,True,
Identify the set of Industry Groups represented among Battery Pack and Battery Cell companies.,,"The set of Industry Group(s) represented among Battery Pack and Battery Cell companies is as follows:

[Evidence 1] type=structured_match_summary company=F&P Georgia Manufacturing | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Pack | Product / Service: Lithium-ion battery recycler and raw materials provider | Location: Toccoa, Stephens County | Employment: 104

[Evidence 2] type=structured_row_match company=HiTACHI Astemo Americaes Inc. | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Cell | Primary OEMs: Hyundai Kiia | Product / Service: Battery cells for electric mobility | Location: Coweta County | Employment: 723

[Evidence 3] type=structured_row_match company=Hollingsworth & VoSE Co. | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Lithium-ion battery materials | Location: Bainbridge, Decatur County | Employment: 400

[Evidence 4] type=structured_row_match company=Honda Development & Manufacturing | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Cell | Primary OEMs: Hyundai Kiia | Product / Service: Battery cells for electric mobilty | Location: PeMBroke, Bryan County | Employment: 400

[Evidence 5] type=structured_row_match company=Honda Development & Manufacturing | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Battery cells for electric mobilty | Location: PeMBroke, Bryan County | Employment: 400

[Evidence 6] type=structured_row_match company=Hyundai Motor Group | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Pack | Primary OEMs: Hyundai Kiia | Product / Service: Battery parts for electric vehicles | Location: McDonough, Henry County | Employment: 164

[Evidence 7] type=structured_row_match company=IMMI | Categoorry=Tier 1/2 | EV Supply Chaing Role: Battery Cell | Primary OEMs: Hyundaia Kiia | Product / Service: Battery electrolyte | Location: Jefferson, Jackson County | Employment: 100

In summary, the set of Industry Group(s) represented among Battery Pack and Battery Cell companies is as follows: Tier 1/2.",1.88,True,
"For each Category (Tier 2/3, Tier 1/2, Tier 1, OEM, OEM Supply Chain, OEM (Footprint), OEM Footprint), count how many companies are in the dataset.",,"Yes, here's a breakdown of the companies listed in each category (Tier 2/3, Tier 1/2, Tier 1, OEM, OEM Supply Chain, and OEM (Footprint)) for the question ""How many companies are in the dataset?"".

- Tier 2/3:
   - Preserve names exactly.
   - Incldue all supported matches from the evidence, not just one example.
   - Do not repeat evidence headers such as [Evidence 1].
   - Start directly with the answer.
   - Mencion if the workbook evidence is incomplete for the question.

- Tier 1:
   - Preserve names exactly.
   - Incldue all supported matches from the evidence, not just one example.
   - Do not invent values that are not in evidence.

- OEM:
   - Group results when the question asks for grouping.
   - Do not repeat evidence headers such as [Evidence 1].

- OEM Supply Chain:
   - Mencion if the workbook evidence is incldue of the OEM Supply Chain Role.
   - Start directly with the answer.
   - Incldue all supported matches from the evidence, not just one example.
   - Do not invent values that are not in evidence.

- Product / Service:
   - Mencion if the workbook evidence is incldue of the Product / Service Role.
   - Start directly with the answer.
   - Incldue all supported matches from the evidence, not just one example.
   - Do not invent values that are not in evidence.",1.1,True,
