Row_Number,Candidate_ID,Title,Final_Decision,URL,Match_Status
7,CAND_07D3A45DF1,Georgia Business Assets a Powerful Magnet for Electric Vehicle Industry | Georgia.org,review,https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,unmatched
8,CAND_949B09990C,Georgia Electric Vehicle Manufacturing | Georgia Department of Economic Development,review,https://georgia.org/EV,unmatched
9,CAND_CB075DEF7C,Georgia Emerges as Hub for Sustainability | Georgia.org,review,https://georgia.org/blog/georgia-emerges-hub-sustainability,unmatched
11,CAND_2A1F23D1BC,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://www.georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched
12,CAND_FD95048FC0,"EV Parts Supplier NVH Korea to Create Over 160 Jobs, Invest $72M in Henry County | Georgia.org",review,https://georgia.org/press-release/ev-parts-supplier-nvh-korea-create-over-160-jobs-invest-72m-henry-county,unmatched
13,CAND_D37B76E852,[PDF] Final Environmental Assessment - Department of Energy,review,https://www.energy.gov/sites/default/files/2024-06/EA_FONSI_Final_LPO_Aspen%20Aerogel.pdf,unmatched
15,CAND_5F0002B474,"Bartow County, Georgia Fulfills Location & Logistical ...",review,https://georgia.org/sites/default/files/2018-06/voestalpine.pdf,unmatched
18,CAND_B5FEE4A717,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://www.georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched
19,CAND_A817B83385,Hyundai Motor Group and SK On To Build EV Battery Facility in Bartow County | Georgia.org,review,https://georgia.org/press-release/hyundai-motor-group-and-sk-build-ev-battery-facility-bartow-county,unmatched
20,CAND_FD06DE8E5E,"Second Global Automotive Supplier for Hyundai Metaplant To Create 1,500 Jobs | Georgia.org",review,https://georgia.org/press-release/second-global-automotive-supplier-hyundai-metaplant-create-1500-jobs,unmatched
