question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,context_precision,context_recall,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio,overall_metric_score_pct
"Show all Tier 1/2 suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products",golden,"F&P Georgia Manufacturing | Battery Pack | Lithium-ion battery recycler and raw materials provider
Hitachi Astemo | General Automotive | Car audio systems
Hitachi Astemo Americas Inc. | Battery Cell | Battery cells for electric mobility
Hollingsworth & Vose Co. | Battery Pack | Lithium-ion battery materials
Honda Development & Manufacturing | Battery Cell | Battery cells for electric mobility
Hwashin | General Automotive | Modules and storage systems
Hyundai & LG Energy Solution (LGES) | General Automotive | Storage batteries
Hyundai Industrial Co. | General Automotive | Automotive batteries
Hyundai MOBIS (Georgia) | General Automotive | Capacitors, electronic automotive components
Hyundai Motor Group | Battery Pack | Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain | Thermal Management | Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems | General Automotive | Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI | Battery Pack | Battery electrolyte
IMS Gear Georgia Inc. | General Automotive | Car audio systems
Inalfa Roof Systems Inc. | General Automotive | Automotive electronic safety systems
JAC Products Inc. | General Automotive | Switches, resistors and related products
Jefferson Southern Corp. | General Automotive | High current switches and resistors for automotive HVAC systems
Jefferson Southern Corporation | General Automotive | Stamped metal automobile body parts
Joon Georgia, Inc. | General Automotive | Seats and seat foam pads
JTEKT North America Corp. | General Automotive | Vehicle roofing systems
Kautex Inc. | General Automotive | Automotive exterior and interior systems
KTX America Corporation | General Automotive | Stamped components and decorative trim
Kyungshin America Corp. | General Automotive | Front-end modules, front-rolling chassis modules, rear-chassis modules
Lark United Manufacturing Inc. | General Automotive | Motor vehicle transmissions
Lear Corporation | General Automotive | Pressed parts in the body-in-white segment and structural components
Lehigh Technologies Inc. | General Automotive | Suspension related functional components
Linde + Wiemann | General Automotive | 6-speed automatic transmissions
Lund International Inc. | General Automotive | Automotive seat frames
Lund International Inc./Ventshade Division | General Automotive | Industrial trailers and truck bodies
Lyle Industries Inc. | General Automotive | Automatic transmissions
Lyle Industries Inc. | General Automotive | Molded injection auto parts",12.7,True,,,0.0,,1.0,0.0556,0.0,1.0,0.0,32.0523076923077
"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack
IMMI [Tier 1/2] | Role: Battery Pack",golden,"F&P Georgia Manufacturing | Tier 1/2 | Battery Pack  
Hitachi Astemo Americas Inc. | Tier 1/2 | Battery Cell  
Hollingsworth & Vose Co. | Tier 1/2 | Battery Pack  
Honda Development & Manufacturing | Tier 1/2 | Battery Cell  
Hyundai Motor Group | Tier 1/2 | Battery Pack  
IMMI | Tier 1/2 | Battery Pack",2.29,True,,,0.8333,,1.0,0.0,0.8333,0.1667,0.0,69.22923076923078
Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 4 Thermal Management companies in Georgia.
• Freudenberg-NOK | OEMs: Multiple OEMs
• Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
• Novelis Inc. | OEMs: Multiple OEMs
• Peerless-Winsmith Inc. | OEMs: Multiple OEMs",golden,No Thermal Management suppliers and their linked Primary OEMs were provided in the given evidence. The evidence lists companies involved in General Automotive roles but does not specify any with a Thermal Management role.,1.97,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies in Power Electronics or Charging Infrastructure roles.

GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC | Role: EV thermal management and power electronics | Employment: 17500",golden,"GSC Steel Stamping LLC | Power Electronics | Employment: 350
Morgan Corp. | Charging Infrastructure | Employment: 320
Yazaki North America | Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC | EV thermal management and power electronics | Employment: 17500",2.04,True,,,1.0,,1.0,0.0,1.0,0.0,0.0,76.92307692307692
"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","The Direct Manufacturer group includes 11 companies.
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",golden,"Vehicle Assembly:
Superior Essex Inc. | Vehicle Assembly
TE Connectivity | Vehicle Assembly
Teklas USA | Vehicle Assembly
Thomson Plastics Inc. | Vehicle Assembly",1.1,True,,,0.0,,0.3833,0.25,0.0,1.0,0.0,22.306923076923074
"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. is recorded at three Georgia locations.
Gainesville, Hall County | Primary Facility Type: Manufacturing Plant
Trenton, Dade County | Primary Facility Type: Manufacturing Plant
Lawrenceville, Gwinnett County | Primary Facility Type: Manufacturing Plant",golden,"Dalton, Fulton County | Manufacturing Plant | General Automotive  
Atlanta, Fulton County | Manufacturing Plant | General Automotive  
Atlanta, Fulton County | Manufacturing Plant | Thermal Management",1.25,True,,,1.0,,0.0,0.0,1.0,0.0,0.0,53.846153846153854
"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?","Highest-employment company in Gwinnett County:
Grudem | Employment: 807 | EV Supply Chain Role: General Automotive",golden,Company: Grudem | Employment: 807 | EV Supply Chain Role: General Automotive,0.8,True,,,0.0,,1.0,0.0,0.0,1.0,0.0,30.76923076923077
Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total employment among Tier 1 suppliers, with 3,603 employees.",golden,Troup County (3603),0.66,True,,,1.0,,1.0,1.0,1.0,0.0,0.0,100.0
"Which county has the highest total employment across all companies, and what is the combined employment in that county?","Fulton County | Total Employment: 21,300",golden,"Cobb County has the highest total employment across all companies, with a combined employment of 10,000 (TE Connectivity: 1900 and Superior Essex Inc.: 8100).",1.6,True,,,1.0,,0.0,0.0,1.0,0.0,0.0,53.846153846153854
Show all Vehicle Assembly OEMs in Georgia and the full set of Tier 1 suppliers connected to each within the state.,"There are 10 companies in Georgia classified under Vehicle Assembly or OEM roles:

Club Car LLC
Hyundai Motor Group
Rivian Automotive
Kia Georgia Inc.
Mercedes-Benz USA LLC
Blue Bird Corp.
Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles
SK Battery America
Archer Aviation Inc.

Tier 1 Supplier Connections:

There are 77 Tier 1 suppliers in the dataset. While 74 of these are categorized under ""Multiple OEMs,"" 3 suppliers have specific documented linkages:
Perkins Small Engines LLC → Blue Bird Corp.
SHIROKI North America Inc. → Blue Bird Corp.
Racemark International LLC → Hyundai / Kia / Rivian",golden,"Vehicle Assembly OEMs in Georgia and their Tier 1 suppliers connected within the state:

No specific Vehicle Assembly OEMs are listed in the provided evidence. However, the following Tier 1 suppliers are mentioned as part of the automotive supply chain participant network in Georgia:

- Jefferson Southern Corporation | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: Commerce, Forsyth County | Employment: 900
- Joon Georgia, Inc. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: Commerce, Forsyth County | Employment: 900
- JTEKT North America Corp. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: Warrenton, Warren County | Employment: 860
- Kautex Inc. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: Lagrange, Troup County | Employment: 800
- KTX America Corporation | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: West Point, Troup County | Employment: 740
- Kumho Tire USA Inc. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: Macon, Bibb County | Employment: 730
- Kyungshin America Corp. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Location: West Point, Troup County | Employment: 700

Note: The evidence does not specify any Vehicle Assembly OEMs in Georgia.",7.03,True,,,0.0,,0.0,0.0,0.0,1.0,0.0,7.6923076923076925
