run_name,provider,model_name,rag_enabled,question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,context_precision,context_recall,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio,overall_metric_score_pct
qwen_rag,ollama,qwen2.5:14b,True,"Show all Tier 1/2 suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products",golden,"Lear Corporation | General Automotive | Pressed parts in the body-in-white segment and structural components

Hyundai MOBIS (Georgia) | General Automotive | Capacitors, electronic automotive components

F&P Georgia Manufacturing | Battery Pack | Lithium-ion battery recycler and raw materials provider

Hyundai Transys Georgia Powertrain | Thermal Management | Electrical heaters, control units, and actuators

Hyundai Transys Georgia Seating Systems | General Automotive | Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts",4.52,True,,0.5,0.8,1.0,0.6792,0.0,0.8,0.2,0.0,64.55040000000002
qwen_rag,ollama,qwen2.5:14b,True,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?",There are 6 companies found with Battery Cell or Battery Pack roles. F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell Hyundai Motor Group [Tier 1/2] | Role: Battery Pack IMMI [Tier 1/2] | Role: Battery Pack,golden,"**Battery Pack**
F&P Georgia Manufacturing

**Battery Cell**
None listed

Note: Only one company, F&P Georgia Manufacturing, is classified under Battery Pack role. No companies are listed under Battery Cell role in Georgia based on the provided evidence.",1.26,True,,0.0,0.5,0.5,1.0,0.0,0.5,0.3333,0.1667,38.0
qwen_rag,ollama,qwen2.5:14b,True,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,There are 4 Thermal Management companies in Georgia. • Freudenberg-NOK | OEMs: Multiple OEMs • Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian • Novelis Inc. | OEMs: Multiple OEMs • Peerless-Winsmith Inc. | OEMs: Multiple OEMs,golden,ZF Gainesville LLC | Primary OEMs: Multiple OEMs,0.61,True,,0.0,0.0,0.5,0.525,0.0,0.0,1.0,0.0,18.3
qwen_rag,ollama,qwen2.5:14b,True,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies in Power Electronics or Charging Infrastructure roles. GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350 Morgan Corp. | Role: Charging Infrastructure | Employment: 320 Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000 ZF Gainesville LLC | Role: EV thermal management and power electronics | Employment: 17500",golden,"Yazaki North America | Employment: 230000
ZF Gainesville LLC | Employment: 17500",0.9,True,,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,74.00000000000001
qwen_rag,ollama,qwen2.5:14b,True,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?",The Direct Manufacturer group includes 11 companies. Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly TE Connectivity | EV Supply Chain Role: Vehicle Assembly Teklas USA | EV Supply Chain Role: Vehicle Assembly Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly,golden,"Vehicle Assembly:
Superior Essex Inc. | Vehicle Assembly
TE Connectivity | Vehicle Assembly
Teklas USA | Vehicle Assembly
Thomson Plastics Inc. | Vehicle Assembly

General Automotive:
Minebea AccessSolutions USA Inc. | General Automotive",1.26,True,,0.5,0.8571,0.5,1.0,0.0,0.8571,0.1429,0.0,61.998799999999996
qwen_rag,ollama,qwen2.5:14b,True,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. is recorded at three Georgia locations. Gainesville, Hall County | Primary Facility Type: Manufacturing Plant Trenton, Dade County | Primary Facility Type: Manufacturing Plant Lawrenceville, Gwinnett County | Primary Facility Type: Manufacturing Plant",golden,"Novelis Inc. operates in the following locations:

- Gainesville, Hall County | Primary Facility Type: Manufacturing Plant | EV Supply Chain Role: General Automotive
- Trenton, Dade County | Primary Facility Type: Manufacturing Plant | EV Supply Chain Role: General Automotive
- Lawrenceville, Gwinnett County | Primary Facility Type: Manufacturing Plant | EV Supply Chain Role: Thermal Management",1.79,True,,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,86.00000000000001
qwen_rag,ollama,qwen2.5:14b,True,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",Highest-employment company in Gwinnett County: Grudem | Employment: 807 | EV Supply Chain Role: General Automotive,golden,Company: Grudem | Employment: 807 | EV Supply Chain Role: General Automotive,0.79,True,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,88.00000000000001
qwen_rag,ollama,qwen2.5:14b,True,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total employment among Tier 1 suppliers, with 3,603 employees.",golden,Troup County (3603),0.64,True,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,88.00000000000001
qwen_rag,ollama,qwen2.5:14b,True,"Which county has the highest total employment across all companies, and what is the combined employment in that county?","Fulton County | Total Employment: 21,300",golden,"Bryan County has the highest total employment across all companies, with a combined employment of 8100 from Superior Essex Inc.",0.87,True,,0.0,1.0,1.0,0.4429,0.0,1.0,0.0,0.0,53.3148
qwen_rag,ollama,qwen2.5:14b,True,Show all Vehicle Assembly OEMs in Georgia and the full set of Tier 1 suppliers connected to each within the state.,"There are 10 companies in Georgia classified under Vehicle Assembly or OEM roles: Club Car LLC Hyundai Motor Group Rivian Automotive Kia Georgia Inc. Mercedes-Benz USA LLC Blue Bird Corp. Yamaha Motor Manufacturing Corp. Textron Specialized Vehicles SK Battery America Archer Aviation Inc. Tier 1 Supplier Connections: There are 77 Tier 1 suppliers in the dataset. While 74 of these are categorized under ""Multiple OEMs,"" 3 suppliers have specific documented linkages: Perkins Small Engines LLC → Blue Bird Corp. SHIROKI North America Inc. → Blue Bird Corp. Racemark International LLC → Hyundai / Kia / Rivian",golden,"Vehicle Assembly OEMs in Georgia:
- Teklas USA | Category: OEM | EV Supply Chain Role: Vehicle Assembly | Updated Location: Coweta County | Employment: 1800
- Suzuki Manufacturing of America Corp. | Category: OEM | EV Supply Chain Role: Vehicle Assembly | Updated Location: Monroe, Walton County | Employment: 7500
- Kia Georgia Inc. | Category: OEM | EV Supply Chain Role: Vehicle Assembly | Updated Location: Appling, Columbia County | Employment: 777
- TCI Powder Coatings | Category: OEM | EV Supply Chain Role: Vehicle Assembly | Updated Location: Troup County | Employment: 3000

Tier 1 suppliers connected to each within the state:
- PPG Industries Inc. | Category: Tier 1 | EV Supply Chain Role: General Automotive | Updated Location: Troup County | Employment: 120",3.69,True,,0.0,0.8571,0.5,0.9821,0.0,0.8571,0.1429,0.0,47.784
