q_id,question,golden_answer,run_name,model_name,provider,mode,answer,success,abstained,error_message,latency_seconds,tokens_in,tokens_out,tokens_total,finish_reason,n_retrieved_chunks,retrieved_chunk_ids,citations_in_answer,citation_count,response_length_words,prompt_version,seed,created_at
1,"Show all Tier 1/2 suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products",qwen14b_rag,qwen2.5:14b,ollama,rag,"Company: F&P Georgia Manufacturing | EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery recycler and raw materials provider [E1][E2]

Company: Fouts Brothers Fire Equipment | EV Supply Chain Role: General Automotive | Product / Service: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units [E1][E3]

Hitachi Astemo | EV Supply Chain Role: Battery Cell | Product / Service: Battery cells for electric mobility [E1]

Hitachi Astemo Americas Inc. | EV Supply Chain Role: Battery Cell | Product / Service: Battery cells for electric mobility [E1]

Hollingsworth & Vose Co. | EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery materials [E1]

Honda Development & Manufacturing | EV Supply Chain Role: Battery Cell | Product / Service: Battery cells for electric mobility [E1]

Hwashin | EV Supply Chain Role: General Automotive | Product / Service: Modules and storage systems [E1]

Hyundai & LG Energy Solution (LGES) | EV Supply Chain Role: General Automotive | Product / Service: Storage batteries [E1]

Hyundai Industrial Co. | EV Supply Chain Role: General Automotive | Product / Service: Automotive batteries [E1]

Hyundai MOBIS (Georgia) | EV Supply Chain Role: General Automotive | Product / Service: Capacitors, electronic automotive components [E1]

Hyundai Motor Group | EV Supply Chain Role: Battery Pack | Product / Service: Battery parts for electric vehicles [E1]

Hyundai Transys Georgia Powertrain | EV Supply Chain Role: Thermal Management | Product / Service: Electrical heaters, control units, and actuators [E1]

Hyundai Transys Georgia Seating Systems | EV Supply Chain Role: General Automotive | Product / Service: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts [E1]

IMMI | EV Supply Chain Role: Battery Pack | Product / Service: Battery electrolyte [E1]

Inalfa Roof Systems Inc. | EV Supply Chain Role: General Automotive | Product / Service: Automotive electronic safety systems [E1]

JAC Products Inc. | EV Supply Chain Role: General Automotive | Product / Service: Switches, resistors and related products [E1]

Jefferson Southern Corp. | EV Supply Chain Role: General Automotive | Product / Service: High current switches and resistors for automotive HVAC systems [E1]

Jefferson Southern Corporation | EV Supply Chain Role: General Automotive | Product / Service: Stamped metal automobile body parts [E1]

Joon Georgia, Inc. | EV Supply Chain Role: General Automotive | Product / Service: Seats and seat foam pads [E1]

JTEKT North America Corp. | EV Supply Chain Role: General Automotive | Product / Service: Vehicle roofing systems [E1]

Kautex Inc. | EV Supply Chain Role: General Automotive | Product / Service: Automotive exterior and interior systems [E1]

KTX America Corporation | EV Supply Chain Role: General Automotive | Product / Service: Stamped components and decorative trim [E1]

Kumho Tire USA Inc. | EV Supply Chain Role: General Automotive | Product / Service: Stamped components and decorative trim [E1]

Kyungshin America Corp. | EV Supply Chain Role: General Automotive | Product / Service: Front-end modules, front-rolling chassis modules, rear-chassis modules [E1]

Lark United Manufacturing Inc. | EV Supply Chain Role: General Automotive | Product / Service: Motor vehicle transmissions [E1]

Lear Corporation | EV Supply Chain Role: General Automotive | Product / Service: Pressed parts in the body-in-white segment and structural components [E1]

Lehigh Technologies Inc. | EV Supply Chain Role: General Automotive | Product / Service: Suspension related functional components [E1]

Linde + Wiemann | EV Supply Chain Role: General Automotive | Product / Service: 6-speed automatic transmissions [E1]

Lund International Inc. | EV Supply Chain Role: General Automotive | Product / Service: Automotive seat frames [E1]

Lund International Inc./Ventshade Division | EV Supply Chain Role: General Automotive | Product / Service: Industrial trailers and truck bodies [E1]

Lyle Industries Inc. | EV Supply Chain Role: General Automotive | Product / Service: Automatic transmissions [E1]

Lyle Industries Inc. | EV Supply Chain Role: General Automotive | Product / Service: Molded injection auto parts [E1]

Mack Trucks | EV Supply Chain Role: General Automotive | Product / Service: Interior and exterior automotive components [E1]",True,False,,20.975,1641,970,2611,stop,12,"structured-summary::1b1848e587fd,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::53,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::57,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::75,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::76,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::77,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::78,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::79","E1,E2,E3",3,676,v2,42,2026-04-03T01:10:16.190788+00:00
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack
IMMI [Tier 1/2] | Role: Battery Pack",qwen14b_rag,qwen2.5:14b,ollama,rag,"Companies classified under Battery Cell role:
- Hitachi Astemo Americas Inc., Tier 1/2 [E3]
- Honda Development & Manufacturing, Tier 1/2 [E5]

Companies classified under Battery Pack role:
- F&P Georgia Manufacturing, Tier 1/2 [E2]
- Hollingsworth & Vose Co., Tier 1/2 [E4]
- Hyundai Motor Group, Tier 1/2 [E6]
- IMMI, Tier 1/2 [E7]",True,False,,2.939,1908,107,2015,stop,12,"structured-summary::d5221fc33b84,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::53,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::76,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::77,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::78,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::83,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::86,2473a755-88a8-5ca8-b027-6a1767d1a1a3","E3,E5,E2,E4,E6,E7",6,55,v2,42,2026-04-03T01:10:19.130694+00:00
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 4 Thermal Management companies in Georgia.
• Freudenberg-NOK | OEMs: Multiple OEMs
• Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
• Novelis Inc. | OEMs: Multiple OEMs
• Peerless-Winsmith Inc. | OEMs: Multiple OEMs",qwen14b_rag,qwen2.5:14b,ollama,rag,"Matched rows:
- Company: ACM Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Adient | Primary OEMs: Multiple OEMs
- Company: ADVICS Manufacturing Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Ajin Georgia | Primary OEMs: Multiple OEMs
- Company: ALBAform Inc. | Primary OEMs: Multiple OEMs
- Company: Anovion Technologies | Primary OEMs: Multiple OEMs
- Company: Apache Mills Inc. | Primary OEMs: Multiple OEMs
- Company: Arising Industries Inc. | Primary OEMs: Multiple OEMs
- Company: Ascend Elements | Primary OEMs: Multiple OEMs
- Company: Aspen Aerogels | Primary OEMs: Multiple OEMs
- Company: Aurubis | Primary OEMs: Multiple OEMs
- Company: AVS | Primary OEMs: Multiple OEMs
- Company: Beaver Manufacturing Co. Inc. | Primary OEMs: Multiple OEMs
- Company: Big Tex Trailer Manufacturing Inc. | Primary OEMs: Multiple OEMs
- Company: Blue Bird Corp. | Primary OEMs: Multiple OEMs
- Company: Blue Ridge Manufacturing | Primary OEMs: Multiple OEMs
- Company: Bonnell Aluminum | Primary OEMs: Multiple OEMs
- Company: Boogook Industries | Primary OEMs: Multiple OEMs
- Company: Bosal Industries Georgia | Primary OEMs: Multiple OEMs
- Company: Bosch (Automotive Division) | Primary OEMs: Multiple OEMs
- Company: Bridgestone Bandag | Primary OEMs: Multiple OEMs
- Company: Carcoustics USA | Primary OEMs: Multiple OEMs
- Company: Constellium Automotive USA | Primary OEMs: Multiple OEMs
- Company: Continental Automotive | Primary OEMs: Multiple OEMs
- Company: Continental Tire the Americas LLC | Primary OEMs: Multiple OEMs
- Company: DaeChang Seat Company | Primary OEMs: Multiple OEMs
- Company: DAEHAN Solution Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Daesol Ausys | Primary OEMs: Multiple OEMs
- Company: Daesol Material Georgia, LLC | Primary OEMs: Multiple OEMs
- Company: Daimler Truck North America | Primary OEMs: Multiple OEMs
- Company: DAS Corp. | Primary OEMs: Multiple OEMs
- Company: Decostar Industries | Primary OEMs: Multiple OEMs
- Company: DeKalb Tool & Die Inc. | Primary OEMs: Multiple OEMs
- Company: Denkai America | Primary OEMs: Multiple OEMs
- Company: Denso Manufacturing Georgia | Primary OEMs: Multiple OEMs
- Company: Die-Tech Industries Inc. | Primary OEMs: Multiple OEMs
- Company: Dinex Emissions Inc. | Primary OEMs: Multiple OEMs
- Company: Dongwon Autopart Technology Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Dorsett Industries Inc. | Primary OEMs: Multiple OEMs
- Company: Down 2 Earth Trailers | Primary OEMs: Multiple OEMs
- Company: Duckyang | Primary OEMs: Hyundai Kia Rivian
- Company: Eaton Corp. | Primary OEMs: Multiple OEMs
- Company: Ecoplastic America Corporation | Primary OEMs: Multiple OEMs
- Company: Ecoplastic Corporation | Primary OEMs: Multiple OEMs
- Company: Elan Technology Inc. | Primary OEMs: Multiple OEMs
- Company: Enchem America Inc. | Primary OEMs: Hyundai Kia Rivian
- Company: Enplas USA Inc. | Primary OEMs: Multiple OEMs
- Company: Erdrich USA Inc. | Primary OEMs: Multiple OEMs
- Company: EVCO Plastics | Primary OEMs: Multiple OEMs
- Company: F&P Georgia Manufacturing | Primary OEMs: Hyundai Kia
- Company: Fanello Industries Inc. | Primary OEMs: Multiple OEMs
- Company: First American Resources | Primary OEMs: Multiple OEMs
- Company: Flambeau Inc. | Primary OEMs: Multiple OEMs
- Company: Fouts Brothers Fire Equipment | Primary OEMs: Multiple OEMs
- Company: FOX Factory | Primary OEMs: Multiple OEMs
- Company: Freudenberg-NOK | Primary OEMs: Multiple OEMs
- Company: FREYR Battery | Primary OEMs: Multiple OEMs
- Company: GEDIA Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Global Powertrain Systems LLC | Primary OEMs: Multiple OEMs
- Company: GLOVIS Georgia LLC | Primary OEMs: Multiple OEMs
- Company: Goodyear Tire & Rubber Co. | Primary OEMs: Multiple OEMs
- Company: Great Dane LP | Primary OEMs: Multiple OEMs
- Company: Great Dane Trailers | Primary OEMs: Multiple OEMs
- Company: Grudem | Primary OEMs: Multiple OEMs
- Company: GSC Steel Stamping LLC | Primary OEMs: Hyundai Kia Rivian
- Company: Haering Precision USA LP | Primary OEMs: Multiple OEMs
- Company: Hanon Systems USA LLC | Primary OEMs: Blue Bird
- Company: HELLA Automotive Sales Inc. | Primary OEMs: Multiple OEMs
- Company: HEXPOL Compounding Corp. | Primary OEMs: Multiple OEMs
- Company: Hitachi Astemo | Primary OEMs: Multiple OEMs
- Company: Hitachi Astemo Americas Inc. | Primary OEMs: Hyundai Kia
- Company: Hollingsworth & Vose Co. | Primary OEMs: Hyundai Kia

Insufficient evidence: No specific information on thermal management suppliers or their exact roles in the EV supply chain provided beyond 'General Automotive'.",True,True,,24.226,2322,1234,3556,stop,12,"structured-summary::41e4e03b6331,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::1,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::2,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::3,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::4,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::5,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::6,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::7",,0,738,v2,42,2026-04-03T01:10:43.357238+00:00
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies in Power Electronics or Charging Infrastructure roles.

GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC | Role: EV thermal management and power electronics | Employment: 17500",qwen14b_rag,qwen2.5:14b,ollama,rag,"GSC Steel Stamping LLC | Employment: 350 [E2][E1]  
Yazaki North America | Employment: 230000 [E3][E1]  
ZF Gainesville LLC | Employment: 17500 [E4][E1]",True,False,,2.556,2514,65,2579,stop,12,"structured-summary::a559ac9d6452,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::69,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::201,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::204,3fa0c1fd-3be3-5521-8a9b-ecbbb5b8a751,2473a755-88a8-5ca8-b027-6a1767d1a1a3,b7fca5ec-9dbf-5142-9c78-5ef5323c2466,0660f09f-b71a-5ecd-b49f-e7114732c8db","E2,E1,E3,E4",4,22,v2,42,2026-04-03T01:10:45.913682+00:00
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","The Direct Manufacturer group includes 11 companies.
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",qwen14b_rag,qwen2.5:14b,ollama,rag,Insufficient evidence: No companies are classified as Direct Manufacturer in the provided evidence.,True,True,,1.579,2335,17,2352,stop,12,"50b33f31-5a72-5b4c-ab69-9ec402934815,3fa0c1fd-3be3-5521-8a9b-ecbbb5b8a751,3872275f-db1a-57ea-b0ba-6ed4c8ce99dc,a8f8fe59-06ba-54fc-9a98-9838c01a8983,57aee952-d30b-5835-acc6-aab0706ee390,4c92961a-105f-5b6c-85b4-60dd67748878,b14e63cb-f021-5352-84f8-65a8607bbd46,ec56b469-376a-5811-8004-c56132202879",,0,13,v2,42,2026-04-03T01:10:47.493150+00:00
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. is recorded at three Georgia locations.
Gainesville, Hall County | Primary Facility Type: Manufacturing Plant
Trenton, Dade County | Primary Facility Type: Manufacturing Plant
Lawrenceville, Gwinnett County | Primary Facility Type: Manufacturing Plant",qwen14b_rag,qwen2.5:14b,ollama,rag,"Novelis Inc. operates in the following locations with their associated primary facility types:

- Gainesville, Hall County | Manufacturing Plant [E1]
- Trenton, Dade County | Manufacturing Plant [E1]
- Lawrenceville, Gwinnett County | Manufacturing Plant [E1]
- Dalton, Fulton County | Manufacturing Plant [E2]
- Atlanta, Fulton County | Manufacturing Plant [E3][E4]",True,False,,2.186,1128,87,1215,stop,6,"structured-summary::8f83c4c03be3,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::127,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::128,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::129,222dcbf4-5c1b-5603-989f-0689b7e318eb,8585c741-045b-5e2a-95a7-fd94c9bcfa3b","E1,E2,E3,E4",4,53,v2,42,2026-04-03T01:10:49.679588+00:00
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?","Highest-employment company in Gwinnett County:
Grudem | Employment: 807 | EV Supply Chain Role: General Automotive",qwen14b_rag,qwen2.5:14b,ollama,rag,Company: Grudem | EV Supply Chain Role: General Automotive | Employment: 807 [E1],True,False,,0.854,743,24,767,stop,12,"structured-summary::447a0397a4a7,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::10,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::28,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::32,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::68,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::88,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::111,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::114",E1,1,13,v2,42,2026-04-03T01:10:50.533954+00:00
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total employment among Tier 1 suppliers, with 3,603 employees.",qwen14b_rag,qwen2.5:14b,ollama,rag,Troup County [E1],True,False,,0.568,773,8,781,stop,12,"structured-summary::e4b9fceb5f94,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::91,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::92,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::93,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::94,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::96,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::97,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::98",E1,1,3,v2,42,2026-04-03T01:10:51.102627+00:00
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?","Fulton County | Total Employment: 21,300",qwen14b_rag,qwen2.5:14b,ollama,rag,Statewide / Unspecified has the highest total employment across all companies with an employment total of 1354440 [E1].,True,False,,2.172,2953,31,2984,stop,12,"dfafe529-f590-5169-be08-714f71432756,49d31ce6-62d9-51ee-81c8-38a85c3faaf5,147ead6d-7db7-53b5-b672-38b17b38ccb5,042c378c-b0a2-558f-828c-f08aca653ece,472bd690-20b8-51ff-afd0-b89e6b60b72c,5aa1398e-a528-5002-b853-db7f5d6a0b6c,b6c5ac1a-fbda-50ee-9d24-73c71adaa635,50b33f31-5a72-5b4c-ab69-9ec402934815",E1,1,18,v2,42,2026-04-03T01:10:53.275391+00:00
10,Show all Vehicle Assembly OEMs in Georgia and the full set of Tier 1 suppliers connected to each within the state.,"There are 10 companies in Georgia classified under Vehicle Assembly or OEM roles:

Club Car LLC
Hyundai Motor Group
Rivian Automotive
Kia Georgia Inc.
Mercedes-Benz USA LLC
Blue Bird Corp.
Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles
SK Battery America
Archer Aviation Inc.

Tier 1 Supplier Connections:

There are 77 Tier 1 suppliers in the dataset. While 74 of these are categorized under ""Multiple OEMs,"" 3 suppliers have specific documented linkages:
Perkins Small Engines LLC → Blue Bird Corp.
SHIROKI North America Inc. → Blue Bird Corp.
Racemark International LLC → Hyundai / Kia / Rivian",qwen14b_rag,qwen2.5:14b,ollama,rag,Insufficient evidence: No OEMs specified as Vehicle Assembly in Georgia.,True,True,,1.331,1936,15,1951,stop,12,"structured-summary::24d3f80bd81b,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::91,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::92,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::93,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::94,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::96,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::97,structured-row::GNEM - Auto Landscape Lat Long Updated.xlsx::Sheet1::98",,0,10,v2,42,2026-04-03T01:10:54.606831+00:00
